( data_0001 "Tannierige voetstappe dui aan dat sy die kamer verlaat." )
( data_0002 "Die gevoel was asemrowend lekker." )
( data_0003 "Die ou waarmee jy saamleef is nie jou man nie." )
( data_0004 "Wees sommer net simpel as dit moet." )
( data_0005 "Weereens beklemtoon Jesus 'n daadwerklike keuse vir en verbintenis tot Hom." )
( data_0006 "Groep is vanaand byna onvanpas deftig met hulle tafeldoek." )
( data_0007 "Daar is steeds baie sulke mense." )
( data_0008 "Hierdie dogtertjie is 'n sleutelfiguur in die verloop van die verhaal." )
( data_0009 "Die hele rit duur ongeveer dertig sekondes." )
( data_0010 "Hy begin sy restourasie, maar dit neem tyd." )
( data_0011 "Waar kom die goggas vandaan en wat noem jy dit?" )
( data_0012 "Maar dan pak 'n verskriklike vertwyfeling jou skielik beet." )
( data_0013 "Reeds verskillende plantspesies is in die natuurreservaat aangeteken." )
( data_0014 "Sy kinders leef hierdie aanbidding elke dag van hul lewens." )
( data_0015 "Hy kan met gesag praat oor hoe om dit te hanteer." )
( data_0016 "Hy het as te ware sy tou ietwat laat skiet." )
( data_0017 "So as jy swakhede het moet dit nie wys nie." )
( data_0018 "Laat weet maar asseblief wanneer jy weer Durban toe kom." )
( data_0019 "Ek hoop en vertrou dat bostaande inligting u navraag beantwoord." )
( data_0020 "God het weer na Sion teruggekeer, die bewys is sinds daar." )
( data_0021 "Ek weet presies waarvan jy praat." )
( data_0022 "Telkens moet hy ook die gevolge van sy dade dra." )
( data_0023 "Die gesamentlike blyplek was eers 'n skuur." )
( data_0024 "Word in samewerking met die Teologiese Kollege aangebied." )
( data_0025 "Alles het droewig in die muwwerige vertrekkie gelyk." )
( data_0026 "Oor liefdesverhale laat ek my egter graag en met passie uit." )
( data_0027 "Meng gelyke dele olyfolie en heuning saam." )
( data_0028 "Die ander drie was natuurlik Hosea en Jesaja en Miga." )
( data_0029 "So klein soos my rekenaarskerm sou ek seker kon sê." )
( data_0030 "Meublement bevestig stilswyend hul roeping." )
( data_0031 "Strooi die res van die sjokolade stukkies bo oor." )
( data_0032 "Historiese en sistematiese inleiding in die meta etiek." )
( data_0033 "Vel wat aan bloed blootgestel raak moet dadelik skoongemaak word." )
( data_0034 "Nee ek praat hier van een vrou en twee mans." )
( data_0035 "Onderhou dan die sabbat, want dit moet vir julle heilig wees." )
( data_0036 "Rasionaliteit word oorweldig deur emosionele identiteit en konformiteit." )
( data_0037 "Erasmus stel voor dat daar na elke vergadering waarnemings gedoen word." )
( data_0038 "Jy moet goed verstaan wat leuens is, naamlik enige doelbewuste misleiding." )
( data_0039 "Plooie laat hom ouer voorkom as wat sy gespierde arms verraai." )
( data_0040 "En ons deel in stukkies menswees se vreugdes en verdriet." )
( data_0041 "Die een kom van die duiwel, die ander van Bo." )
( data_0042 "Daarom word gewaarsku teen oorhaastigheid misbruik van alkoholiese drankies, postuurgroepsdruk, ensovoorts." )
( data_0043 "Gaan sit nou en skryf alles neer." )
( data_0044 "Prooi word gewurg voor dit kop eerste ingesluk word." )
( data_0045 "Skaapwagters het in daardie tyd die sosiale status gehad van slootgrawers." )
( data_0046 "David Kramer sê die nostalgie moet deur die outentieke vervang word." )
( data_0047 "Daar is hope blyplek in daardie geweste." )
( data_0048 "Ook hiervan moet jy verskeie afskrifte maak." )
( data_0049 "Die sneeu het hierdie jaar vroeg gekom." )
( data_0050 "Ek het nooit 'n enkele oomblik daaraan getwyfel nie." )
( data_0051 "Die jongste kopië word gewaarborg vir twee jaar onbeperkte afstand." )
( data_0052 "Maar is dit hoegenaamd moontlik?" )
( data_0053 "Ek wil u graag gelukwens met 'n pragtige tydskrif." )
( data_0054 "Neem vinnig 'n toetsfoto voordat jy 'n belangrike foto neem." )
( data_0055 "Gesonde sosiale verkeer word bewerkstellig met vasgestelde kuiertye." )
( data_0056 "Roer eiergeelmengsel by melkmengsel in en meng goed." )
( data_0057 "Onthou, elke wens word uitgespreek as 'n positiewe doelstelling." )
( data_0058 "Op dieselfde plek sien ons die wrak van 'n Toyota Condor." )
( data_0059 "Die familie het hierna oor Wes Duitsland versprei." )
( data_0060 "In die groen brosjure is die vorm op bladsy." )
( data_0061 "Oortuig hierdie absoluut rasionele suiwer empiries gefundeerde argument jou nie?" )
( data_0062 "Alle afbrekende kragte sal eendag uit die skepping verdwene wees." )
( data_0063 "Die groep het aansienlike insetkoste wat in buitelandse valuta aangegaan word." )
